"round","version","requests","success","failed","requestSuccessRatePercent","sloAttainmentRatePercent","successfulThroughputTps","successfulAverageMs","successfulP50Ms","successfulP95Ms","successfulP99Ms","orderVisibilityStatus","recoveryStatus","validForComparison","schemaVersion","resultDirectory"
"1","V4","100","100","0","100","32","11.25","4553.52","4429","8424","8792","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-1-v4"
"1","V5","100","100","0","100","100","1086.96","80.02","81","90","91","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-1-v5"
"2","V4","100","100","0","100","33","11.6","4460.69","4486","8222","8540","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-2-v4"
"2","V5","100","100","0","100","100","943.4","95.36","96","103","104","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-2-v5"
"3","V4","100","100","0","100","31","10.72","4697.17","4534","8838","9254","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-3-v4"
"3","V5","100","100","0","100","100","970.87","86.25","85","100","101","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-3-v5"
"4","V4","100","100","0","100","32","11.27","4571.78","4537","8481","8793","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-4-v4"
"4","V5","100","100","0","100","100","892.86","102.08","102","109","110","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-4-v5"
"5","V4","100","100","0","100","33","11.77","4354.49","4285","8118","8412","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-5-v4"
"5","V5","100","100","0","100","100","1010.1","81.9","81","94","96","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-5-v5"
"6","V4","100","100","0","100","34","11.64","4352.78","4267","8110","8517","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-6-v4"
"6","V5","100","100","0","100","100","892.86","102.16","102","110","112","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-6-v5"
"7","V4","100","100","0","100","35","11.63","4310.92","4254","8132","8514","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-7-v4"
"7","V5","100","100","0","100","100","862.07","104.88","105","112","113","PASS","PASS","True","3","G:\study\Computer\java\damai_pro\tests\benchmark\results\v4-v5-campaign\20260828-formal\formal-100\round-7-v5"
